top - 11:32:40 up 11 min,  2 users,  load average: 1.77, 1.24, 0.75
Threads: 206 total,   5 running, 201 sleeping,   0 stopped,   0 zombie
%Cpu(s): 94.7 us,  5.3 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3854.5 total,   3425.9 free,    189.4 used,    239.2 buff/cache
MiB Swap:    100.0 total,    100.0 free,      0.0 used.   3496.7 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  359 nobody    20   0    4320   2208   2036 S   0.0   0.1   0:00.25 thd
  366 root      20   0    7948   2424   2244 S   0.0   0.1   0:00.02 cron
  370 avahi     20   0    5772    252      0 S   0.0   0.0   0:00.00 avahi-daemon
  379 root      20   0    2904   1900   1496 S   0.0   0.0   0:00.02 dhcpcd
  426 root      20   0    8628   2192   2000 S   0.0   0.1   0:00.03 vncserver-x11-s
  450 root      20   0   34168  18772   8916 S   0.0   0.5   0:00.34 vncserver-x11-c
  451 root      20   0   40464   7336   6636 S   0.0   0.2   0:00.13 polkitd
  462 root      20   0   40464   7336   6636 S   0.0   0.2   0:00.00 gmain
  464 root      20   0   40464   7336   6636 S   0.0   0.2   0:00.01 gdbus
  458 root      20   0   40104   7280   6528 S   0.0   0.2   0:00.14 lightdm
  465 root      20   0   40104   7280   6528 S   0.0   0.2   0:00.00 gmain
  467 root      20   0   40104   7280   6528 S   0.0   0.2   0:00.01 gdbus
  468 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker/1:3-mm_percpu_wq
  482 root      20   0   11100   3240   2628 S   0.0   0.1   0:01.68 wpa_supplicant
  524 root      20   0  209320  54240  36984 S   0.0   1.4   0:01.12 InputThread
  508 root      20   0    5620   2364   1976 S   0.0   0.1   0:00.04 login
  518 root      20   0   11532   4392   3832 S   0.0   0.1   0:00.34 vncagent
  535 root      20   0   32512   7516   6732 S   0.0   0.2   0:00.04 lightdm
  538 root      20   0   32512   7516   6732 S   0.0   0.2   0:00.00 gmain
  539 root      20   0   32512   7516   6732 S   0.0   0.2   0:00.00 gdbus
  543 pi        20   0   14688   7416   6408 S   0.0   0.2   0:00.21 systemd
  546 pi        20   0   16768   1660     56 S   0.0   0.0   0:00.00 (sd-pam)
  557 pi        20   0   56332  12452  11172 S   0.0   0.3   0:00.31 lxsession
  604 pi        20   0   56332  12452  11172 S   0.0   0.3   0:00.00 gmain
  606 pi        20   0   56332  12452  11172 S   0.0   0.3   0:00.00 gdbus
  566 pi        20   0    6544   3476   3100 S   0.0   0.1   0:00.08 dbus-daemon
  590 pi        20   0    4488    288      0 S   0.0   0.0   0:00.00 ssh-agent
  608 pi        20   0   43412   6132   5524 S   0.0   0.2   0:00.04 gvfsd
  614 pi        20   0   43412   6132   5524 S   0.0   0.2   0:00.00 gmain
  615 pi        20   0   43412   6132   5524 S   0.0   0.2   0:00.01 gdbus
  609 pi        20   0    8496   3608   2720 S   0.0   0.1   0:00.10 bash
  619 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u9:1-hci0
  621 root      20   0    2136    116      0 S   0.0   0.0   0:00.00 hciattach
  627 pi        20   0   56772   6480   5888 S   0.0   0.2   0:00.00 gvfsd-fuse
  639 pi        20   0   56772   6480   5888 S   0.0   0.2   0:00.02 gvfsd-fuse
  640 pi        20   0   56772   6480   5888 S   0.0   0.2   0:00.00 gvfsd-fuse
  642 pi        20   0   56772   6480   5888 S   0.0   0.2   0:00.00 gmain
  643 pi        20   0   56772   6480   5888 S   0.0   0.2   0:00.00 gdbus
